ETF,Total_Return,Volatility,Sharpe_Ratio
SPY,23.13327776784395,17.562164272789897,0.4854460788884212
IVV,23.16188416536198,17.561683293807175,0.48591088927116177
VTI,19.693791769812275,18.06327698035576,0.4242857726130132
QQQ,28.36337252369465,23.723800000349947,0.47182587887631416
VEA,-6.930110244530496,16.910902798457695,-0.0581669241299985
VWO,-11.443486460122632,17.761039299968413,-0.14114414900469172
IEFA,-6.314945400936589,17.22610547316204,-0.04109240963756923
AGG,-14.36893730819615,7.088150855188484,-0.6988775361509503
VUG,28.196479970318357,23.480168182899366,0.472383640218735
VTV,14.365015600696541,14.225136114420772,0.3877231447037584
BND,-14.433358852259193,7.013533958025092,-0.7106632533087741
GLD,42.95134691694598,14.568940746048408,0.8959520699716255
IWM,-2.0592998835477827,23.31601368646905,0.08640808389895951
EEM,-14.71545033779842,18.80048030781581,-0.19045821585503153
XLF,22.135087959027857,18.807667442287485,0.45063960399574987
XLK,33.58591357867886,25.329786978893644,0.5101381403243184
XLV,-1.5777373133413763,14.270612111938211,0.03394566775483558
XLE,47.76302210417684,26.235971820036397,0.6309720240753517
XLI,25.709924814041685,17.15481166588426,0.5332731257449418
XLY,7.48419270404812,25.330441321057318,0.22244711849449994
XLP,1.6472169878021692,13.305824054699823,0.10789989077656491
XLU,6.899956540335084,18.343200088384577,0.21376175506891806
XLRE,-21.39100519238767,21.08323270568962,-0.2777715749553919
XLB,-6.295423497937902,19.19040182987648,-0.01791579787061757
LQD,-18.30523978969848,9.903539175438462,-0.6354853208388158
HYG,-9.555016030763907,8.972197914598313,-0.33075488561262395
TLT,-39.15453832647145,17.77328181567337,-0.8489217250544778
IEMG,-13.12074046056404,18.292768604872165,-0.16681195662386844
IJR,-0.6910213747606586,21.940656768044843,0.09881310920901855
VO,4.250366746281675,18.743755458017727,0.1681947716095826
