ETF,Ann_Return,Ann_Volatility,Sharpe,Max_Drawdown,Class
AGG,-0.021047,0.070804,-0.2973,-0.160265,US Broad Bond
BND,-0.02105,0.069938,-0.301,-0.160945,US Broad Bond
HYG,0.023808,0.088992,0.2675,-0.153049,US High Yield Bond
XLE,0.183026,0.263566,0.6944,-0.260437,US Energy
XLK,0.11142,0.253296,0.4399,-0.324151,US Technology Sector
XLY,0.033343,0.253393,0.1316,-0.39071,US Consumer Discretionary
