ETF,Year,Ann_Return,Ann_Volatility,Sharpe,Class,Trading_Days,Period,Date_Range
VTI,2023,0.26923,0.135391,1.9885,US Total Market,249,Full Year,2023-01-03 ~ 2023-12-29
VTI,2024,0.253042,0.129214,1.9583,US Total Market,250,Full Year,2024-01-02 ~ 2024-12-30
VTV,2022,-0.025112,0.187284,-0.1341,US Large Value,250,Full Year,2022-01-03 ~ 2022-12-30
VTV,2023,0.096225,0.118481,0.8122,US Large Value,249,Full Year,2023-01-03 ~ 2023-12-29
VTV,2024,0.151286,0.104372,1.4495,US Large Value,250,Full Year,2024-01-02 ~ 2024-12-30
VUG,2022,-0.33829,0.324421,-1.0428,US Large Growth,250,Full Year,2022-01-03 ~ 2022-12-30
VUG,2023,0.485726,0.169623,2.8636,US Large Growth,249,Full Year,2023-01-03 ~ 2023-12-29
VUG,2024,0.365627,0.173863,2.103,US Large Growth,250,Full Year,2024-01-02 ~ 2024-12-30
VWO,2022,-0.186888,0.225242,-0.8297,Emerging Markets,250,Full Year,2022-01-03 ~ 2022-12-30
VWO,2023,0.081923,0.143475,0.571,Emerging Markets,249,Full Year,2023-01-03 ~ 2023-12-29
VWO,2024,0.121793,0.148374,0.8209,Emerging Markets,250,Full Year,2024-01-02 ~ 2024-12-30
XLB,2022,-0.112236,0.252979,-0.4437,US Materials,250,Full Year,2022-01-03 ~ 2022-12-30
XLB,2023,0.127326,0.16869,0.7548,US Materials,249,Full Year,2023-01-03 ~ 2023-12-29
XLB,2024,-0.000809,0.136472,-0.0059,US Materials,250,Full Year,2024-01-02 ~ 2024-12-30
XLE,2022,0.599809,0.352289,1.7026,US Energy,250,Full Year,2022-01-03 ~ 2022-12-30
XLE,2023,0.030208,0.226746,0.1332,US Energy,249,Full Year,2023-01-03 ~ 2023-12-29
XLE,2024,0.031098,0.178614,0.1741,US Energy,250,Full Year,2024-01-02 ~ 2024-12-30
XLF,2022,-0.117599,0.24508,-0.4798,US Financials,250,Full Year,2022-01-03 ~ 2022-12-30
XLF,2023,0.117874,0.162278,0.7264,US Financials,249,Full Year,2023-01-03 ~ 2023-12-29
XLF,2024,0.301403,0.142083,2.1213,US Financials,250,Full Year,2024-01-02 ~ 2024-12-30
XLI,2022,-0.048232,0.21928,-0.22,US Industrials,250,Full Year,2022-01-03 ~ 2022-12-30
XLI,2023,0.181111,0.147792,1.2254,US Industrials,249,Full Year,2023-01-03 ~ 2023-12-29
XLI,2024,0.188116,0.136842,1.3747,US Industrials,250,Full Year,2024-01-02 ~ 2024-12-30
XLK,2022,-0.285968,0.328776,-0.8698,US Technology Sector,250,Full Year,2022-01-03 ~ 2022-12-30
XLK,2023,0.583766,0.185482,3.1473,US Technology Sector,249,Full Year,2023-01-03 ~ 2023-12-29
XLK,2024,0.261813,0.22101,1.1846,US Technology Sector,250,Full Year,2024-01-02 ~ 2024-12-30
XLP,2022,-0.008029,0.176036,-0.0456,US Consumer Staples,250,Full Year,2022-01-03 ~ 2022-12-30
XLP,2023,-0.004496,0.113963,-0.0395,US Consumer Staples,249,Full Year,2023-01-03 ~ 2023-12-29
